sample,pct_miss,city,site_abbv,nlcd_urban_pct,id,management_type,name,value
TO.LA.NWH.M.3,(74),Los Angeles,NWH,0.02842087175005357,3,M,K2,0.001
TO.LA.NWH.M.3,(74),Los Angeles,NWH,0.02842087175005357,3,M,K3,0.998
TO.LA.NWH.M.4,(65),Los Angeles,NWH,0.02842087175005357,4,M,K1,0.001
TO.LA.NWH.M.4,(65),Los Angeles,NWH,0.02842087175005357,4,M,K2,0.002
TO.LA.NWH.M.4,(65),Los Angeles,NWH,0.02842087175005357,4,M,K3,0.997
TO.LA.ZOO.M.1,(43),Los Angeles,ZOO,0.23587870862259877,1,M,K1,0.001
TO.LA.ZOO.M.1,(43),Los Angeles,ZOO,0.23587870862259877,1,M,K2,0.998
TO.LA.ZOO.M.1,(43),Los Angeles,ZOO,0.23587870862259877,1,M,K3,0.001
TO.LA.ZOO.M.3,(63),Los Angeles,ZOO,0.23587870862259877,3,M,K1,0.239
TO.LA.ZOO.M.3,(63),Los Angeles,ZOO,0.23587870862259877,3,M,K2,0.759
TO.LA.ZOO.M.3,(63),Los Angeles,ZOO,0.23587870862259877,3,M,K3,0.002
TO.LA.ZOO.M.6,(57),Los Angeles,ZOO,0.23587870862259877,6,M,K1,0
TO.LA.ZOO.M.6,(57),Los Angeles,ZOO,0.23587870862259877,6,M,K2,0.001
TO.LA.ZOO.M.6,(57),Los Angeles,ZOO,0.23587870862259877,6,M,K3,0.999
TO.MN.L08-TO.U.2,(63),Minneapolis,L08-TO,0.3421220286682966,2,U,K1,0.127
TO.MN.L08-TO.U.2,(63),Minneapolis,L08-TO,0.3421220286682966,2,U,K2,0.872
TO.MN.L08-TO.U.2,(63),Minneapolis,L08-TO,0.3421220286682966,2,U,K3,0.001
TO.MN.L08-TO.U.3,(59),Minneapolis,L08-TO,0.3421220286682966,3,U,K1,0.231
TO.MN.L08-TO.U.3,(59),Minneapolis,L08-TO,0.3421220286682966,3,U,K2,0.645
TO.MN.L08-TO.U.3,(59),Minneapolis,L08-TO,0.3421220286682966,3,U,K3,0.124
TO.MN.L08-TO.U.4,(77),Minneapolis,L08-TO,0.3421220286682966,4,U,K1,0.997
TO.MN.L08-TO.U.4,(77),Minneapolis,L08-TO,0.3421220286682966,4,U,K2,0.002
